x y
607.5569655460768 603.7794314337063
1498.8949872953112 914.4089935213032
91.7235047285598 402.08388589264075
1483.489706727573 899.5888821234898
206.78761852392967 1514.4414390523152
409.1078041306952 1302.6756499994465
1417.5834570520603 198.1774869948709
303.47096521481126 302.2777296251407
1408.4774372557165 202.41251448105874
181.7742976778584 1518.3815623877665
411.3966079082477 1293.9519425519013
301.9416232009553 297.50791889865746
194.4874909421499 1512.088371155817
198.64650795908037 1504.1661356404766
309.88862465842624 281.38103929423306
608.4473109871036 595.6973375736053
397.76986409828277 1294.5659728891712
1398.2187010596756 204.66026736828712
1389.724785940338 204.28407169552588
1392.765329925404 198.5079726107715
215.88168646390375 1487.0994864991624
281.24167528648576 314.85998180701614
605.1389665813506 609.2571111824755
604.4519433363305 608.0747549711143
1500.7327273443152 902.4621196867688
102.45258272822164 401.02921998065614
397.3852302584698 1287.840041125831
100.7460760376761 401.60504570224884
585.2725513004559 598.9482408787308
591.1393960019815 603.881758763896
1487.367338982643 898.9848806491879
111.16440990724746 401.0301972456459
93.19503205573221 405.1419317365127
1392.52149841039 194.62723801443047
401.5527865758742 1299.7492961009184
1401.240650540385 202.72831474249006
198.74144348758725 1508.520024587731
1405.7895834613087 193.6960892433741
1503.6473197947082 911.0307769298537
1497.801503121182 914.3443938559504
307.4114104533133 301.6790156951768
299.9523625953978 304.1506276865063
200.48192094440284 1486.5301180393064
390.494956158357 1297.5653997999623
1402.5339609227585 204.00241434136245
1485.74250586716 888.7624201000999
113.59270736670162 398.6044693466713
1507.0514252963646 899.0651694487391
1507.546155028435 905.8287413921945
201.69522051722882 1493.8210736460342
298.8895422538083 304.1513266411116
208.54412556897475 1497.1547101851318
1497.363420532552 887.6738020834077
304.25755052362166 320.2097687056124
407.34609246064645 1304.8889465407906
590.0350823983927 591.1488140418398
394.9220999528836 1298.8306186760185
208.30556820097638 1514.0765451622083
112.06003942945145 416.8880151359427
315.17870717853424 300.01578729759126
584.9854317767131 591.0501937119386
99.00158968053191 399.89444963846915
590.5836758796522 595.7735796452072
1405.5937613880126 199.97379497368115
87.76792957051585 406.9987123100716
409.81299823899235 1296.1753572245889
291.15583221054715 301.0847587597941
102.34342521501887 412.01868813055665
597.9479794589782 613.888165974216
398.2856259129009 1303.2758244621211
